contact_1,contact_2,label,id,is_explicit,is_stim_only,type_1,type_2,avg.region,avg.x,avg.y,avg.z,avg.dural.region,avg.dural.x,avg.dural.y,avg.dural.z,ind.region,ind.x,ind.y,ind.z,ind.dural.region,ind.dural.x,ind.dural.y,ind.dural.z,tal.region,tal.x,tal.y,tal.z,wb.region,wb.x,wb.y,wb.z,stein.region,stein.x,stein.y,stein.z,das.region,das.x,das.y,das.z,mni.x,mni.y,mni.z
1,2,1LD1-1LD2,1ld.1-1ld.2,False,False,D,D,,-16.785,-13.85,-17.675,,-16.785,-13.85,-17.675,,-18.665,13.495,-19.995,,-18.665,13.495,-19.995,,-17.60525,-8.807725,-15.891,Left Hippocampus,,,,Left CA1,,,,CA1,,,,-20.2461,-6.42595,-20.0249025289296
2,3,1LD2-1LD3,1ld.2-1ld.3,False,False,D,D,,-22.255,-14.48,-18.34,,-22.255,-14.48,-18.34,,-23.495,12.92,-20.92,,-23.495,12.92,-20.92,,-23.0165,-9.52845,-16.38325,Left Amygdala,,,,Left Amy,,,,,,,,-26.0774,-6.92065,-21.50921121519015
3,4,1LD3-1LD4,1ld.3-1ld.4,False,False,D,D,,-27.72,-15.105,-19.0,,-27.72,-15.105,-19.0,,-28.32,12.345,-21.845,,-28.32,12.345,-21.845,,-28.4278,-10.24916,-16.8755,Left Hippocampus,,,,Left CA1,,,,CA1,,,,-32.6874,-7.16327,-22.778100524645854
4,5,1LD4-1LD5,1ld.4-1ld.5,False,False,D,D,,-33.465,-16.23,-19.525,,-33.465,-16.23,-19.525,,-33.395,11.29,-22.705,,-33.395,11.29,-22.705,,-34.1166,-11.46135,-17.2087,Left Inf Lat Vent,,,,,,,,,,,,-39.084,-8.72467,-23.27535255693865
5,6,1LD5-1LD6,1ld.5-1ld.6,False,False,D,D,fusiform,-39.215,-17.36,-20.05,fusiform,-39.215,-17.36,-20.05,fusiform,-38.47,10.235,-23.565,fusiform,-38.47,10.235,-23.565,,-39.8053,-12.67355,-17.54185,Left Cerebral White Matter,,,,,,,,,,,,-43.7423,-10.66625,-23.0523353467059
6,7,1LD6-1LD7,1ld.6-1ld.7,False,False,D,D,fusiform,-44.155,-18.32,-19.88,fusiform,-44.155,-18.32,-19.88,middletemporal,-42.865,9.285,-23.755,middletemporal,-42.865,9.285,-23.755,,-44.6891,-13.63995,-17.2762,Left Cerebral White Matter,,,,,,,,,,,,-47.469,-11.72635,-21.55340150155895
7,8,1LD7-1LD8,1ld.7-1ld.8,False,False,D,D,middletemporal,-49.09,-19.365,-20.05,middletemporal,-49.09,-19.365,-20.05,middletemporal,-47.24,8.28,-24.25,middletemporal,-47.24,8.28,-24.25,,-49.56955,-14.7308,-17.30505,Left Cerebral White Matter,,,,,,,,,,,,-52.606,-12.6912,-20.6782928317891
8,9,1LD8-1LD9,1ld.8-1ld.9,False,False,D,D,middletemporal,-54.57,-20.405,-20.235,middletemporal,-54.57,-20.405,-20.235,middletemporal,-52.1,7.275,-24.785,middletemporal,-52.1,7.275,-24.785,,-54.99105,-15.8196,-17.3405,Left Cerebral White Matter,,,,,,,,,,,,-58.90675,-13.56995,-19.95457760953635
9,10,1LD9-1LD10,1ld.9-1ld.10,False,False,D,D,middletemporal,-60.315,-21.53,-20.765,middletemporal,-60.315,-21.53,-20.765,middletemporal,-57.175,6.22,-25.645,middletemporal,-57.175,6.22,-25.645,,-60.6798,-17.03185,-17.6737,Left MTG middle temporal gyrus,,,,Left Middle Temporal Gyrus,,,,,,,,-65.1534,-14.66965,-20.231694788385347
11,12,3LD1-3LD2,3ld.1-3ld.2,False,False,D,D,,-21.24,-24.015,-17.79,,-21.24,-24.015,-17.79,,-22.52,3.935,-21.165,,-22.52,3.935,-21.165,,-22.03885,-19.14475,-15.2139,Left Cerebral White Matter,,,,Left MTL WM,,,,,,,,-24.955750000000002,-17.40025,-20.535257720279603
12,13,3LD2-3LD3,3ld.2-3ld.3,False,False,D,D,,-26.19,-25.975,-17.335,,-26.19,-25.975,-17.335,,-26.93,2.025,-21.18,,-26.93,2.025,-21.18,,-26.9364,-21.0962,-14.6235,Left Hippocampus,,,,Left CA1,,,,CA1,,,,-29.868450000000003,-19.218899999999998,-20.19663712100615
13,14,3LD3-3LD4,3ld.3-3ld.4,False,False,D,D,,-31.15,-27.26,-16.345,,-31.15,-27.26,-16.345,,-31.385,0.705,-20.67,,-31.385,0.705,-20.67,,-31.8338,-22.3062,-13.6066,Left Hippocampus,,,,Left DG,,,,DG,,,,-34.94175,-20.22525,-18.611010685450204
14,15,3LD4-3LD5,3ld.4-3ld.5,False,False,D,D,,-36.95,-28.365,-14.7,,-36.95,-28.365,-14.7,fusiform,-36.62,-0.51,-19.61,fusiform,-36.62,-0.51,-19.61,,-37.5496,-23.2641,-12.0107,Left Cerebral White Matter,,,,,,,,,,,,-40.565,-21.3181,-17.038721178842103
15,16,3LD5-3LD6,3ld.5-3ld.6,False,False,D,D,fusiform,-42.735,-29.645,-13.73,fusiform,-42.735,-29.645,-13.73,fusiform,-41.8,-1.83,-19.16,fusiform,-41.8,-1.83,-19.16,,-43.25865,-24.47095,-11.00365,Left Cerebral White Matter,,,,,,,,,,,,-45.977149999999995,-22.6041,-16.2866216629632
